0.000000000;-0.320123000;1.087714000;1.473069674;0.000009950;64.275061306;50.710577297
19.282518392;1.561294887;20.278226718;1.473261540;0.000009849;79.488234495;49.863970715
35.233423305;3.113271933;36.153450619;1.473417304;0.000008162;88.372315713;30.696735044
59.871473375;5.505935052;60.675046680;1.473557371;0.000002005;88.840252064;1.645414686
81.367418325;7.592401971;82.069492338;1.473531457;-0.000004935;89.229846923;2.033373907
95.608290860;8.975817077;96.243010354;1.473425999;-0.000010422;89.598926694;3.353761767
110.039074867;10.379761185;110.605338420;1.473231481;-0.000016954;90.303050688;22.252794398
140.822057192;13.386285178;141.241147264;1.472481400;-0.000020469;110.767084825;4.657464649
168.070459481;16.067188575;168.357344297;1.472017680;-0.000031189;103.886744228;-37.631217509
193.705760022;18.612113154;193.866008352;1.470876363;-0.000029878;86.594689142;72.074910565
204.712543558;19.711447308;204.817754660;1.470616708;-0.000020242;100.048014286;79.768678295
252.748320165;24.530426388;252.611198207;1.470346260;0.000010292;91.441466667;-21.107180461
273.229415913;26.582771697;272.989204912;1.470696085;0.000034151;84.715660680;117.143895772
284.436393925;27.702026288;284.140152146;1.471183490;0.000040907;104.552677160;116.047121801
337.421900474;32.924041801;336.867685784;1.472703486;0.000135208;89.568291218;-49.534297476
352.363195088;34.366742219;351.739164297;1.475172472;0.000134373;72.333887676;93.430158998
378.504411864;36.848603359;377.762294391;1.477273144;0.000057606;137.923827499;114.721492572
404.646495259;39.276668197;403.791370429;1.478184239;0.000047240;145.350965281;-5.362975832
447.653932806;43.167584102;446.622425214;1.481092471;0.000081011;74.401525131;-57.547172336
468.152321483;44.983056440;467.040259320;1.482883870;0.000064726;79.134290153;36.915035130
492.474048777;47.109287536;491.268868191;1.483804015;0.000046874;93.304173785;89.037517089
509.238776325;48.559574340;507.970746694;1.484694321;0.000042182;113.634888611;53.114251451
546.481802375;51.744383159;545.077347240;1.485361565;0.000039022;104.973541192;-52.206368706
565.157879497;53.326350062;563.686302908;1.486287996;0.000031449;78.823037722;15.758644504
583.733475174;54.892350657;582.195770578;1.486536748;0.000012989;92.877341918;34.884772205
602.308816264;56.452969563;600.705437335;1.486770549;0.000009576;92.776946604;-0.862727521
622.695602876;58.161976751;621.020465321;1.486898410;0.000003241;92.499844819;15.190379749
648.535915894;60.326404187;646.769970765;1.486882883;-0.000003666;102.615309204;8.530238890
665.898683263;61.782114606;664.071606453;1.486783478;-0.000008997;101.457046203;-35.341015268
686.083507846;63.478305755;684.185036703;1.486525104;-0.000017462;85.181206711;-45.745465731
701.925568109;64.814066742;699.970682518;1.486190514;-0.000021655;81.165863177;-13.273163762
727.155329901;66.952789935;725.109630793;1.485622680;-0.000023474;80.245513307;-18.367906768
739.665763589;68.019220280;737.574528552;1.485323009;-0.000020705;76.001041921;-26.670849415
751.475663315;69.028999314;749.341179619;1.485114715;-0.000014986;71.710841495;-5.245610528
767.929893828;70.439067693;765.734879875;1.484928914;-0.000007265;78.216426137;-10.990838231
789.019547861;72.248835369;786.746739576;1.484884571;0.000003827;66.435239144;-55.122118198
801.131808140;73.287880924;798.814350496;1.484972180;0.000009706;46.221723322;-1.010775584
811.422516548;74.169677091;809.067209360;1.485093680;0.000012071;53.789125875;12.801920045
831.122528591;75.853237705;828.695151007;1.485341441;0.000032663;43.599052527;-14.757387992
841.141774246;76.706255533;838.678018496;1.485771053;0.000027643;43.709137959;-2.367842098
851.498565255;77.585045724;848.997458721;1.485894228;0.000030357;42.924434577;-14.275291992
861.546632952;78.434275601;859.009574956;1.486379248;0.000036756;25.371550681;-9.555062098
865.802417771;78.792866985;863.250225437;1.486514922;0.000036528;25.434581088;-4.493787336
871.045893216;79.233643089;868.475141793;1.486736489;0.000043234;22.967410342;-12.216247304
875.908078321;79.641347099;873.320203321;1.486951112;0.000054591;20.059432274;0.861631889
877.821230225;79.801462365;875.226643278;1.487063420;0.000065567;20.785582464;33.584554148
882.639972087;80.204043817;880.028538842;1.487462681;0.000068251;38.031714194;47.709347604
897.239263429;81.416742431;894.577375820;1.487813117;0.000077634;37.415941437;-49.331573775
901.840116469;81.796563854;899.162524014;1.488248057;0.000091171;20.324516372;-48.217943551
905.369069978;82.087081972;902.679498817;1.488560693;0.000131499;18.128764016;-6.566233730
909.859364325;82.455007376;907.154694010;1.489396314;-0.000282929;17.823675999;13.472920033
913.276452228;82.730893634;910.560626556;1.487209880;-0.002136913;22.975613356;19.118324138
920.486969500;83.346340196;917.743726857;1.449023610;-0.033688592;25.651298706;14.565987211
928.413825564;85.249405338;925.381281481;0.934554945;-0.050821213;35.364570783;25.406483128
931.495266356;87.107510573;927.743507158;0.794819200;-0.049235219;37.456785771;12.245588405
941.538424929;96.334883462;930.554241174;0.173086239;-0.059541029;25.484975981;-30.928501823
947.260377562;101.995032964;929.819495134;-0.159894506;-0.022842393;18.229008634;-3.047703448
952.008890956;106.669728652;928.986457618;-0.129054339;0.018966694;20.234801632;5.988881850
